comment,sentiment
"We're no strangers to love
You know the rules and so do I (do I)
A full commitment's what I'm thinking of
You wouldn't get this from any other guy
I just wanna tell you how I'm feeling
Gotta make you understand
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
We've known each other for so long
Your heart's been aching, but you're too shy to say it (say it)
Inside, we both know what's been going on (going on)
We know the game and we're gonna play it
And if you ask me how I'm feeling
Don't tell me you're too blind to see
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
We've known each other for so long
Your heart's been aching, but you're too shy to say it (to say it)
Inside, we both know what's been going on (going on)
We know the game and we're gonna play it
I just wanna tell you how I'm feeling
Gotta make you understand
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you",1
1:42  this song so good a like this!!!,1
FEELING GREAT FOR NOT HAVING YOUTUBE PREMIUM,1
Wow Great video and music i love this video so great making video thanks for this video,1
Gotta be my favorite video,1
"Meme aside, this shit 🔥 🙌🏾🙌🏾",0
"Still a timeless classic! 🎶 Never gets old, and the 4K remaster looks amazing. 😎🔥 #RickAstley #NeverGonnaGiveYouUp",1
Nice song it gives me good vibes,1
What a fantastic song,1
"Decades later, this timeless masterpiece still brings pure joy and incredible energy every single time it randomly plays on screen",1
Rick rolling myself so we can celebrate 1 billion. Congratulation rick. Love ur song ❤❤❤,1
Thanks man for giving us this amazing platform ❤,1
Wow 😮 it’s been 21 years SINCE this MASTERPIECE was uploaded 😮,1
How the hell I got this recommendation after 21 years😂,1
21 years ago wow❤,1
Nice jawed😊❤,1
Why do old videos keep recommending to me 😭😭😭,1
even the elephants looks good in 2005,1
YouTube still recommend me lol,1
"Seeing ""21 years ago"" on a YouTube video that also in recommended makes me feel a certain type of way",1
"2017:this song is doing great and is popular
2040:kids this is a legendary Spanish song of our time",1
best song eveeeeeeeeeer,1
Ohhh my god. So beautiful,1
16 june i'm here yet. I'm not Korean but i like this song it's the best,1
Make GANGNAM STYLE Great Again. Ehhhhh- 🗣️,1
*dies of cringe of the music video not the music,0
Everything about this is still totally brilliant 🇰🇷,1
"My bsf lives in a long distance, (I've NEVER seen her) she's not just an online friend, she's another part of me. I'm 13, 5 months older than her, i try my best to love and care for her <3...no one can ever write my love for her... Not even 𝐯𝐨𝐥𝐮𝐦𝐞𝐬.",1
"Today I graduated from 9th grade with my friend Dulguun. I don't know how long it will be before we meet again, but this song is all I can think about right now. Good luck out there my bro.",1
The moments since fast and furious and Paul Walker too. So now that's the anthem of fast and furious. That really felt good.,1
😮❤brow      good miusic 🇦🇴🫵🏿🫵🏿🫵🏿🫵🏿🫵🏿🫵🏿✅,1
It’s never goodbye…,1
Amazing song and video,1
Nice song🔥🔥,1
Rip Paul Walker blue I feel bad,0
this song hit different after losing some one u love it not the same,1
"This is absolutely amazing, I love every second of it",1
